College,Matched_INSTNM,In-State Tuition (tuition+fees),Out-of-State Tuition (tuition+fees)
College of Biblical Studies-Houston,College of Biblical Studies-Houston,7475,9275
College of Central Florida,College of Central Florida,2710,10517
College of Charleston,College of Charleston,12978,36858
College of Coastal Georgia,College of Coastal Georgia,3483,10389
College of Menominee Nation,College of Menominee Nation,6200,6200
College of Micronesia-FSM,College of Micronesia-FSM,5050,5050
College of Our Lady of the Elms,College of Our Lady of the Elms,42061,42061
College of Saint Benedict,College of Saint Benedict,53884,53884
College of Saint Mary,College of Saint Mary,23340,23340
College of Southern Idaho,College of Southern Idaho,3360,6840
College of Southern Nevada,College of Southern Nevada,4110,12209
College of Staten Island CUNY,College of Staten Island CUNY,7490,15440
College of the Holy Cross,College of the Holy Cross,60850,60850
College of the Mainland,College of the Mainland,1773,3873
College of the Marshall Islands,College of the Marshall Islands,6840,7480
College of the Ozarks,College of the Ozarks,21290,21290
Collin County Community College District,Collin County Community College District,1864,5614
Colorado Christian University,Colorado Christian University,39266,39266
Colorado College,Colorado College,67932,67932
Colorado Mesa University,Colorado Mesa University,9712,24312
Colorado Mountain College,Colorado Mountain College,2700,12540
Colorado Northwestern Community College,Colorado Northwestern Community College,4454,7084
Colorado School of Mines,Colorado School of Mines,21186,44376
Colorado State University Global,Colorado State University Global,8400,8400
Colorado State University Pueblo,Colorado State University Pueblo,9401,17242
Colorado State University-Fort Collins,Colorado State University-Fort Collins,12896,33751
Colorado Technical University-Colorado Springs,Colorado Technical University-Colorado Springs,12760,12760
Columbia Basin College,Columbia Basin College,6194,8239
Columbia Central University-Caguas,Columbia Central University-Caguas,7314,7314
Columbia College,Columbia College,1547,8870
Columbia College,Columbia College,1547,8870
Columbia College Chicago,Columbia College Chicago,32520,32520
Columbia International University,Columbia International University,27900,27900
Columbia Southern University,Columbia Southern University,5808,5808
Columbia University in the City of New York,Columbia University in the City of New York,69045,69045
Columbus College of Art & Design,Columbus College of Art & Design,39650,39650
Columbus State Community College,Columbus State Community College,5338,10917
Columbus State University,Columbus State University,5751,16805
Commonwealth University of Pennsylvania,Commonwealth University of Pennsylvania,11046,22870
Community College of Denver,Community College of Denver,4902,17136
Conception Seminary College,Conception Seminary College,25208,25208
Concord University,Concord University,9700,20600
Concordia College at Moorhead,Concordia College at Moorhead,30020,30020
Concordia University Ann Arbor,Concordia University Ann Arbor,34200,34200
Concordia University Texas,Concordia University Texas,36690,36690
Concordia University-Chicago,Concordia University-Chicago,36258,36258
Concordia University-Irvine,Concordia University-Irvine,41390,41390
Concordia University-Nebraska,Concordia University-Nebraska,39330,39330
Concordia University-Saint Paul,Concordia University-Saint Paul,25000,25000
Concordia University-Wisconsin,Concordia University-Wisconsin,34250,34250
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,21000,21000
Connecticut College,Connecticut College,64812,64812
Converse University,Converse University,23096,23096
Coppin State University,Coppin State University,7001,13789
Corban University,Corban University,37208,37208
Cornell College,Cornell College,50634,50634
Cornell University,Cornell University,66014,66014
Cornerstone University,Cornerstone University,29100,29100
Cornish College of the Arts,Cornish College of the Arts,39913,39913
Cottey College,Cottey College,26209,26209
Covenant College,Covenant College,40464,40464
Crafton Hills College,Crafton Hills College,1188,12320
Creighton University,Creighton University,47000,47000
Crestpoint University,Point University,22300,22300
Criswell College,Criswell College,14310,14310
Crowley's Ridge College,Crowley's Ridge College,16440,16440
Crown College,Crown College,30200,30200
Culinary Institute of America,Culinary Institute of America,38410,38410
Culver-Stockton College,Culver-Stockton College,29915,29915
Cumberland University,Cumberland University,27840,27840
Curry College,Curry College,46220,46220
Curtis Institute of Music,Curtis Institute of Music,6000,6000
Cypress College,Cypress College,1150,9399
D'Youville University,D'Youville  University,33560,33560
Daemen University,Daemen University,33724,33724
Dakota State University,Dakota State University,9633,12735
Dakota Wesleyan University,Dakota Wesleyan University,32890,32890
Dallas Baptist University,Dallas Baptist University,38140,38140
Dallas Christian College,Dallas Christian College,20260,20260
Dallas College,Dallas College,2370,6000
Dalton State College,Dalton State College,3283,10189
Dartmouth College,Dartmouth College,65739,65739
Davenport University,Davenport University,23324,23324
Davidson College,Davidson College,60300,60300
Davis & Elkins College,Davis & Elkins College,31270,31270
Davis College,Davis College,17500,17500
Davis College,Davis College,17500,17500
Daytona State College,Daytona State College,3106,11994
DePaul University,DePaul University,44460,44460
DePauw University,DePauw University,57070,57070
DeSales University,DeSales University,44800,44800
DeVry College of New York,DeVry College of New York,17488,17488
DeVry University-Arizona,DeVry University-Arizona,17488,17488
DeVry University-California,DeVry University-California,17488,17488
DeVry University-Florida,DeVry University-Florida,17488,17488
DeVry University-Georgia,DeVry University-Georgia,17488,17488
DeVry University-Illinois,DeVry University-Illinois,17488,17488
DeVry University-Nevada,DeVry University-Nevada,17488,17488
DeVry University-New Jersey,DeVry University-New Jersey,17488,17488
DeVry University-Ohio,DeVry University-Ohio,17488,17488
DeVry University-Texas,DeVry University-Texas,17488,17488
DeVry University-Virginia,DeVry University-Virginia,17488,17488
Dean College,Dean College,44960,44960
Defiance College,Defiance College,38778,38778
Del Mar College,Del Mar College,3440,6050
Delaware State University,Delaware State University,10314,20250
Delaware Technical Community College-Central Office,Delaware Technical Community College-Terry,4965,11828
Delaware Technical Community College-Terry,Delaware Technical Community College-Terry,4965,11828
Delaware Valley University,Delaware Valley University,43300,43300
Delta State University,Delta State University,8605,8605
Denison University,Denison University,64000,64000
Design Institute of San Diego,Design Institute of San Diego,29350,29350
Dewey University-Carolina,Dewey University-Carolina,7630,7630
Dewey University-Hato Rey,Dewey University-Hato Rey,6970,6970
Dewey University-Juana Díaz,Dewey University-Juana Diaz,7630,7630
Dewey University-Manati,Dewey University-Manati,7630,7630
Dickinson College,Dickinson College,63475,63475
Dickinson State University,Dickinson State University,9118,11218
DigiPen Institute of Technology,DigiPen Institute of Technology,37400,37400
Dillard University,Dillard University,22194,22194
Dine College,Dine College,1410,1410
Divine Word College,Divine Word College,15000,15000
Doane University,Doane University,40491,40491
Dominican University,Dominican University,37844,37844
Dominican University New York,Dominican University New York,33060,33060
Dominican University of California,Dominican University of California,50666,50666
Donnelly College,Donnelly College,10350,10350
Doral College,Loras College,38298,38298
