College,Matched_INSTNM,In-State Tuition (tuition+fees),Out-of-State Tuition (tuition+fees)
Stone Child College,Stone Child College,3610,3610
Stonehill College,Stonehill College,54500,54500
Stony Brook University,Stony Brook University,10560,30350
Strayer University-Alabama,Strayer University-Alabama,13920,13920
Strayer University-Arkansas,Strayer University-Arkansas,13920,13920
Strayer University-Delaware,Strayer University-Delaware,13920,13920
Strayer University-District of Columbia,Strayer University-District of Columbia,13920,13920
Strayer University-Florida,Strayer University-Florida,13920,13920
Strayer University-Georgia,Strayer University-Georgia,13920,13920
Strayer University-Global Region,Strayer University-Global Region,13920,13920
Strayer University-Maryland,Strayer University-Maryland,13920,13920
Strayer University-Mississippi,Strayer University-Mississippi,13920,13920
Strayer University-New Jersey,Strayer University-New Jersey,13920,13920
Strayer University-North Carolina,Strayer University-North Carolina,13920,13920
Strayer University-Pennsylvania,Strayer University-Pennsylvania,13920,13920
Strayer University-South Carolina,Strayer University-South Carolina,13920,13920
Strayer University-Tennessee,Strayer University-Tennessee,13920,13920
Strayer University-Texas,Strayer University-Texas,13920,13920
Strayer University-Virginia,Strayer University-Virginia,13920,13920
Strayer University-West Virginia,Strayer University-West Virginia,13920,13920
Suffolk University,Suffolk University,45380,45380
Sul Ross State University,Sul Ross State University,7592,17384
Sullivan University,Sullivan University,14220,14220
Summit Christian College,Summit Christian College,8278,8278
Susquehanna University,Susquehanna University,57400,57400
Swarthmore College,Swarthmore College,62412,62412
Sweet Briar College,Sweet Briar College,25110,25110
Syracuse University,Syracuse University,63061,63061
Tabor College,Tabor College,35050,35050
Tacoma Community College,Tacoma Community College,4920,11030
Taft College,Taft College,1108,9076
Talladega College,Talladega College,15650,15650
Talmudic College of Florida,Talmudic College of Florida,16750,16750
Talmudical Academy-New Jersey,Talmudical Academy-New Jersey,15800,15800
Talmudical Seminary Oholei Torah,Talmudical Seminary Oholei Torah,8000,8000
Talmudical Seminary of Bobov,Talmudical Seminary of Bobov,13200,13200
Talmudical Yeshiva of Philadelphia,Talmudical Yeshiva of Philadelphia,10869,10869
Tarleton State University,Tarleton State University,7878,17958
Taylor University,Taylor University,39104,39104
Teachers College of San Joaquin,Teachers College of San Joaquin,,
Telshe Yeshiva-Chicago,Telshe Yeshiva-Chicago,15000,15000
Temple University,Temple University,22082,37462
Tennessee State University,Tennessee State University,8568,22284
Tennessee Technological University,Tennessee Technological University,10084,20116
Tennessee Wesleyan University,Tennessee Wesleyan University,29264,29264
Texas A & M International University,Texas A & M International University,7846,19382
Texas A & M University-Corpus Christi,Texas A & M University-Corpus Christi,9748,21033
Texas A&M University-Central Texas,Texas A&M University-Central Texas,6627,16419
Texas A&M University-College Station,Texas A & M University-College Station,13099,40328
Texas A&M University-Kingsville,Texas A & M University-Kingsville,9892,26106
Texas A&M University-San Antonio,Texas A&M University-San Antonio,9548,23124
Texas A&M University-Texarkana,Texas A&M University-Texarkana,7930,20947
Texas Christian University,Texas Christian University,57220,57220
Texas College,Texas College,10008,10008
Texas Lutheran University,Texas Lutheran University,34920,34920
Texas Southern University,Texas Southern University,9173,21773
Texas State University,Texas State University,11450,23210
Texas Tech University,Texas Tech University,11852,24451
Texas Wesleyan University,Texas Wesleyan University,37934,37934
Texas Woman's University,Texas Woman's University,8648,18720
The Catholic University of America,The Catholic University of America,55834,55834
The College of Idaho,The College of Idaho,36030,36030
The College of New Jersey,The College of New Jersey,18685,24568
The College of Saint Rose,The College of Saint Rose,37452,37452
The College of Saint Scholastica,The College of Saint Scholastica,40454,40454
The College of Westchester,The College of Westchester,24705,24705
The College of Wooster,The College of Wooster,59550,59550
The College of the Florida Keys,The College of the Florida Keys,3279,13162
The Cooper Union for the Advancement of Science and Art,The Cooper Union for the Advancement of Science and Art,46820,46820
The Evergreen State College,The Evergreen State College,8999,30980
The Juilliard School,The Juilliard School,56550,56550
The King's University,The King's University,12480,12480
The Master's University and Seminary,The Master's University and Seminary,36930,36930
The Modern College of Design,The Modern College of Design,30548,30548
The New England Conservatory of Music,The New England Conservatory of Music,58550,58550
The New School,The New School,56386,56386
The Southern Baptist Theological Seminary,The Southern Baptist Theological Seminary,13086,13086
The University of Alabama,The University of Alabama,11900,33200
The University of America,The University of Tampa,33424,33424
The University of Findlay,The University of Findlay,39646,39646
The University of Montana,The University of Montana,8152,31622
The University of Montana-Western,The University of Montana-Western,6430,19038
The University of Olivet,The University of Olivet,33076,33076
The University of Tampa,The University of Tampa,33424,33424
The University of Tennessee Southern,The University of Tennessee Southern,10506,10506
The University of Tennessee-Chattanooga,The University of Tennessee-Chattanooga,10144,18208
The University of Tennessee-Knoxville,The University of Tennessee-Knoxville,13484,31974
The University of Tennessee-Martin,The University of Tennessee-Martin,10208,16248
The University of Texas Permian Basin,The University of Texas Permian Basin,10904,23212
The University of Texas Rio Grande Valley,The University of Texas Rio Grande Valley,9859,19939
The University of Texas at Arlington,The University of Texas at Arlington,11728,29660
The University of Texas at Austin,The University of Texas at Austin,11678,42778
The University of Texas at Dallas,The University of Texas at Dallas,14564,40064
The University of Texas at El Paso,The University of Texas at El Paso,9744,25512
The University of Texas at San Antonio,The University of Texas at San Antonio,8991,21965
The University of Texas at Tyler,The University of Texas at Tyler,9920,25198
The University of the South,The University of the South,53698,53698
Thiel College,Thiel College,36864,36864
Thomas College,Thomas College,30896,30896
Thomas Edison State University,Thomas Edison State University,6638,8598
Thomas Jefferson University,Thomas Jefferson University,45683,45683
Thomas More University,Thomas More University,38400,38400
Thomas University,Thomas University,11640,11640
Tiffin University,Tiffin University,32400,32400
Toccoa Falls College,Toccoa Falls College,23250,23250
Torah Temimah Talmudical Seminary,Torah Temimah Talmudical Seminary,9600,9600
Tougaloo College,Tougaloo College,11398,11398
Touro University,Touro University,21810,21810
Touro University Worldwide,Touro University Worldwide,14600,14600
Towson University,Towson University,11306,28326
Transylvania University,Transylvania University,44980,44980
Trevecca Nazarene University,Trevecca Nazarene University,29790,29790
Trine University,Trine University,35600,35600
Trine University-Regional/Non-Traditional Campuses,Trine University-Regional/Non-Traditional Campuses,9576,9576
Trinidad State College,Trinidad State College,4468,7100
Trinity Baptist College,Trinity Baptist College,14300,14300
Trinity Bible College and Graduate School,Trinity Bible College and Graduate School,18762,18762
Trinity Christian College,Trinity Christian College,20325,20325
Trinity College,Trinity College,67420,67420
Trinity College of Florida,Trinity College of Florida,16300,16300
Trinity International University-Florida,Trinity International University-Florida,14180,14180
Trinity International University-Illinois,Trinity International University-Illinois,12320,12320
Trinity University,Trinity University,51352,51352
Trinity Valley Community College,Trinity Valley Community College,2640,5970
Trinity Washington University,Trinity Washington University,26110,26110
Trocaire College,Trocaire College,19820,19820
Troy University,Troy University,9792,19584
Truckee Meadows Community College,Truckee Meadows Community College,3144,11243
Truett McConnell University,Truett McConnell University,25568,25568
Truman State University,Truman State University,9470,17870
Tufts University,Tufts University,67844,67844
Tulane University of Louisiana,Tulane University of Louisiana,65538,65538
Turtle Mountain Community College,Turtle Mountain Community College,2626,2626
Tusculum University,Tusculum University,28500,28500
Tuskegee University,Tuskegee University,23440,23440
Tyler Junior College,Tyler Junior College,3112,5752
URBE University,URBE University,30550,30550
Union Adventist University,Union Adventist University,27990,27990
Union Bible College,Union Bible College,6230,6230
Union College,Union College,30946,30946
Union Commonwealth University,Virginia Commonwealth University,16458,39042
Union University,Union University,38450,38450
United International College,United International College,10320,10320
United States Air Force Academy,United States Air Force Academy,,
United States Coast Guard Academy,United States Coast Guard Academy,,
United States Merchant Marine Academy,United States Merchant Marine Academy,945,945
United States Military Academy,United States Military Academy,,
United States Naval Academy,United States Naval Academy,,
United States Sports University,United States University,6600,6600
United States University,United States University,6600,6600
United Talmudical Seminary,United Talmudical Seminary,14133,14133
United Tribes Technical College,United Tribes Technical College,4252,4252
Unity Environmental University,Unity Environmental University,12640,12640
Universidad Adventista de las Antillas,Universidad Adventista de las Antillas,8050,8050
Universidad Ana G. Mendez-Carolina Campus,Universidad Ana G. Mendez-Carolina Campus,6920,6920
Universidad Ana G. Mendez-Cupey Campus,Universidad Ana G. Mendez-Cupey Campus,6920,6920
Universidad Ana G. Mendez-Gurabo Campus,Universidad Ana G. Mendez-Gurabo Campus,6920,6920
Universidad Central de Bayamon,Universidad Central de Bayamon,5986,5986
Universidad Pentecostal Mizpa,Universidad Pentecostal Mizpa,4220,4220
Universidad Politecnica de Puerto Rico,Universidad Politecnica de Puerto Rico,9810,9810
Universidad Teologica del Caribe,Universidad Teologica del Caribe,6660,6660
Universidad del Sagrado Corazon,Universidad del Sagrado Corazon,6360,6360
University at Albany,University at Albany,10408,28998
University at Buffalo,University at Buffalo,10782,30572
University of Advancing Technology,University of Advancing Technology,19430,19430
University of Akron Main Campus,University of Akron Main Campus,12799,17239
University of Alabama at Birmingham,University of Alabama at Birmingham,8832,21864
University of Alabama in Huntsville,University of Alabama in Huntsville,11770,24662
University of Alaska Anchorage,University of Alaska Anchorage,7566,21693
University of Alaska Fairbanks,University of Alaska Fairbanks,8640,22752
University of Alaska Southeast,University of Alaska Southeast,6960,21096
University of Antelope Valley,University of Silicon Valley,22480,22480
University of Arizona,University of Arizona,13626,41095
University of Arkansas,University of Arkansas,9748,28772
University of Arkansas Grantham,University of Arkansas Grantham,8280,8280
University of Arkansas System Office,University of Arkansas at Monticello,8868,14718
University of Arkansas at Little Rock,University of Arkansas at Little Rock,8455,19210
University of Arkansas at Monticello,University of Arkansas at Monticello,8868,14718
University of Arkansas at Pine Bluff,University of Arkansas at Pine Bluff,9019,17029
University of Arkansas-Fort Smith,University of Arkansas-Fort Smith,6906,13770
University of Baltimore,University of Baltimore,9772,23490
University of Bridgeport,University of Bridgeport,35760,35760
University of California-Berkeley,University of California-Berkeley,14850,45627
University of California-Davis,University of California-Davis,15247,46024
University of California-Irvine,University of California-Irvine,14237,45014
University of California-Los Angeles,University of California-Los Angeles,13747,44524
University of California-Merced,University of California-Merced,14167,44944
University of California-Riverside,University of California-Riverside,14170,44947
University of California-San Diego,University of California-San Diego,15265,46042
University of California-Santa Barbara,University of California-Santa Barbara,14965,45742
University of California-Santa Cruz,University of California-Santa Cruz,14560,45337
University of Central Arkansas,University of Central Arkansas,10118,17258
University of Central Florida,University of Central Florida,6368,22467
University of Central Missouri,University of Central Missouri,9739,18064
University of Central Oklahoma,University of Central Oklahoma,8522,19409
University of Charleston,University of Charleston,32842,32842
University of Chicago,University of Chicago,66939,66939
University of Cincinnati-Blue Ash College,University of Cincinnati-Blue Ash College,6992,15790
University of Cincinnati-Clermont College,University of Cincinnati-Clermont College,6554,13786
University of Cincinnati-Main Campus,University of Cincinnati-Main Campus,13570,30582
University of Colorado Boulder,University of Colorado Boulder,16430,41943
University of Colorado Colorado Springs,University of Colorado Colorado Springs,9712,20492
University of Colorado Denver/Anschutz Medical Campus,University of Colorado Denver/Anschutz Medical Campus,10017,28209
University of Connecticut,University of Connecticut,20366,43034
University of Connecticut-Avery Point,University of Connecticut-Avery Point,17462,40130
University of Connecticut-Hartford Campus,University of Connecticut-Hartford Campus,17452,40120
University of Connecticut-Stamford,University of Connecticut-Stamford,17472,40140
University of Connecticut-Waterbury Campus,University of Connecticut-Waterbury Campus,17462,40130
University of Dallas,University of Dallas,50880,50880
University of Dayton,University of Dayton,47600,47600
University of Delaware,University of Delaware,16080,39720
University of Denver,University of Denver,59340,59340
University of Detroit Mercy,University of Detroit Mercy,32300,32300
University of Dubuque,University of Dubuque,40065,40065
University of Evansville,University of Evansville,42676,42676
University of Florida,University of Florida,6381,28659
University of Florida-Online,University of Florida-Online,3876,16579
University of Fort Lauderdale,University of Fort Lauderdale,9810,9810
University of Georgia,University of Georgia,11180,30220
University of Guam,University of Guam,6110,11414
University of Hartford,University of Hartford,47647,47647
University of Hawaii Maui College,University of Hawaii Maui College,3284,8420
University of Hawaii System Office,University of Hawaii-West Oahu,7584,20544
University of Hawaii at Hilo,University of Hawaii at Hilo,7838,20798
University of Hawaii at Manoa,University of Hawaii at Manoa,12186,34218
University of Hawaii-West Oahu,University of Hawaii-West Oahu,7584,20544
University of Health Sciences and Pharmacy in St. Louis,University of Health Sciences and Pharmacy in St. Louis,31920,31920
University of Holy Cross,University of Holy Cross,16160,16160
University of Houston,University of Houston,9711,22191
University of Houston-Clear Lake,University of Houston-Clear Lake,7746,21330
University of Houston-Downtown,University of Houston-Downtown,7708,17788
University of Houston-Victoria,University of Houston-Victoria,7499,17291
University of Idaho,University of Idaho,8816,29784
University of Illinois Chicago,University of Illinois Chicago,14338,29360
University of Illinois Springfield,University of Illinois Springfield,12252,22017
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,16004,34501
University of Indianapolis,University of Indianapolis,36136,36136
University of Iowa,University of Iowa,10964,32927
University of Jamestown,University of Jamestown,24820,24820
University of Kansas,University of Kansas,11700,29412
University of Kentucky,University of Kentucky,13212,33406
University of La Verne,University of La Verne,47000,47000
University of Louisiana at Lafayette,University of Louisiana at Lafayette,10418,24146
University of Louisiana at Monroe,University of Louisiana at Monroe,9190,21290
University of Louisville,University of Louisville,12828,29174
University of Lynchburg,University of Lynchburg,35540,35540
University of Maine,University of Maine,12606,35346
University of Maine at Augusta,University of Maine at Augusta,8618,21548
University of Maine at Farmington,University of Maine at Farmington,10989,23079
University of Maine at Fort Kent,University of Maine at Fort Kent,9045,14325
University of Maine at Presque Isle,University of Maine at Presque Isle,8990,14270
University of Management and Technology,University of Management and Technology,9450,9450
University of Mary,University of Mary,21468,21468
University of Mary Hardin-Baylor,University of Mary Hardin-Baylor,33150,33150
University of Mary Washington,University of Mary Washington,14559,31479
University of Maryland Eastern Shore,University of Maryland Eastern Shore,8898,19728
University of Maryland Global Campus,University of Maryland Global Campus,7992,12336
University of Maryland-Baltimore County,University of Maryland-Baltimore County,12952,30308
University of Maryland-College Park,University of Maryland-College Park,11505,40306
University of Massachusetts Global,University of Massachusetts Global,12520,12520
University of Massachusetts-Amherst,University of Massachusetts-Amherst,17357,39293
University of Massachusetts-Boston,University of Massachusetts-Boston,15496,37174
University of Massachusetts-Central Office,University of Massachusetts-Lowell,16570,35396
University of Massachusetts-Dartmouth,University of Massachusetts-Dartmouth,15208,31750
University of Massachusetts-Lowell,University of Massachusetts-Lowell,16570,35396
University of Memphis,University of Memphis,10344,14784
University of Miami,University of Miami,59926,59926
University of Michigan-Ann Arbor,University of Michigan-Ann Arbor,17228,58072
University of Michigan-Dearborn,University of Michigan-Dearborn,14944,31360
University of Michigan-Flint,University of Michigan-Flint,14014,31274
University of Minnesota-Crookston,University of Minnesota-Crookston,13120,13120
University of Minnesota-Duluth,University of Minnesota-Duluth,14318,19762
University of Minnesota-Morris,University of Minnesota-Morris,14288,16438
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,16488,36402
University of Mississippi,University of Mississippi,9412,26980
University of Missouri-Columbia,University of Missouri-Columbia,14130,34338
University of Missouri-Kansas City,University of Missouri-Kansas City,11988,28788
University of Missouri-St Louis,University of Missouri-St Louis,13440,33432
University of Missouri-System Office,University of Missouri-St Louis,13440,33432
University of Mobile,University of Mobile,26120,26120
University of Montevallo,University of Montevallo,13710,26730
University of Mount Olive,University of Mount Olive,25950,25950
University of Mount Saint Vincent,University of Mount Saint Vincent,42740,42740
University of Mount Union,University of Mount Union,35400,35400
University of Nebraska at Kearney,University of Nebraska at Kearney,8302,14260
University of Nebraska at Omaha,University of Nebraska at Omaha,8370,22358
University of Nebraska-Lincoln,University of Nebraska-Lincoln,10108,27748
University of Nevada-Las Vegas,University of Nevada-Las Vegas,9142,26098
University of Nevada-Reno,University of Nevada-Reno,8994,25950
University of New England,University of New England,42550,42550
University of New Hampshire College of Professional Studies Online,University of New Hampshire College of Professional Studies Online,7812,9372
University of New Hampshire at Manchester,University of New Hampshire at Manchester,15820,35530
University of New Hampshire-Main Campus,University of New Hampshire-Main Campus,19112,38882
University of New Haven,University of New Haven,45730,45730
University of New Mexico-Main Campus,University of New Mexico-Main Campus,8115,26450
University of New Orleans,University of New Orleans,9172,14008
University of North Alabama,University of North Alabama,11990,22190
University of North Carolina Asheville,University of North Carolina Asheville,7461,24809
University of North Carolina School of the Arts,University of North Carolina School of the Arts,9477,27211
University of North Carolina Wilmington,University of North Carolina Wilmington,7317,22985
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,8989,39330
University of North Carolina at Charlotte,University of North Carolina at Charlotte,7214,21876
University of North Carolina at Greensboro,University of North Carolina at Greensboro,7593,23339
University of North Carolina at Pembroke,University of North Carolina at Pembroke,3571,7571
University of North Dakota,University of North Dakota,10951,15570
University of North Florida,University of North Florida,6389,20793
University of North Georgia,University of North Georgia,5009,15441
University of North Texas,University of North Texas,11164,21244
University of North Texas System,University of North Texas,11164,21244
University of North Texas at Dallas,University of North Texas at Dallas,9590,22189
University of Northern Colorado,University of Northern Colorado,12010,26204
University of Northern Iowa,University of Northern Iowa,9728,21272
University of Northwestern Ohio,University of Northwestern Ohio,12930,12930
University of Northwestern-St Paul,University of Northwestern-St Paul,36830,36830
University of Oklahoma-Norman Campus,University of Oklahoma-Norman Campus,9595,26665
University of Oregon,University of Oregon,15669,43302
University of Pennsylvania,University of Pennsylvania,66104,66104
University of Phoenix-Arizona,University of Phoenix-Arizona,9552,9552
University of Phoenix-California,University of Phoenix-California,,
University of Phoenix-Hawaii,University of Phoenix-Hawaii,,
University of Phoenix-Nevada,University of Phoenix-Nevada,,
University of Phoenix-Texas,University of Phoenix-Texas,,
University of Pikeville,University of Pikeville,24150,24150
University of Pittsburgh-Bradford,University of Pittsburgh-Bradford,14620,26494
University of Pittsburgh-Greensburg,University of Pittsburgh-Greensburg,14630,26504
University of Pittsburgh-Johnstown,University of Pittsburgh-Johnstown,14646,26520
University of Pittsburgh-Pittsburgh Campus,University of Pittsburgh-Pittsburgh Campus,21524,39890
University of Portland,University of Portland,54900,54900
University of Providence,University of Providence,29018,29018
University of Puerto Rico at Cayey,University of Puerto Rico at Cayey,5354,5354
University of Puerto Rico at Ponce,University of Puerto Rico at Ponce,5354,5354
University of Puerto Rico-Aguadilla,University of Puerto Rico-Aguadilla,5954,5954
University of Puerto Rico-Arecibo,University of Puerto Rico-Arecibo,5324,5324
University of Puerto Rico-Bayamon,University of Puerto Rico-Bayamon,6284,6284
University of Puerto Rico-Carolina,University of Puerto Rico-Carolina,7986,7986
University of Puerto Rico-Central Administration,University of Puerto Rico-Carolina,7986,7986
University of Puerto Rico-Humacao,University of Puerto Rico-Humacao,5364,5364
University of Puerto Rico-Mayaguez,University of Puerto Rico-Mayaguez,5274,5274
University of Puerto Rico-Rio Piedras,University of Puerto Rico-Rio Piedras,5324,5324
University of Puerto Rico-Utuado,University of Puerto Rico-Utuado,5354,5354
University of Puget Sound,University of Puget Sound,59900,59900
University of Redlands,University of Redlands,57614,57614
University of Rhode Island,University of Rhode Island,16408,35804
University of Richmond,University of Richmond,62600,62600
University of Rio Grande,University of Rio Grande,20560,20560
University of Rochester,University of Rochester,64348,64348
University of Saint Francis-Fort Wayne,University of Saint Francis-Fort Wayne,35420,35420
University of Saint Joseph,University of Saint Joseph,45908,45908
University of Saint Katherine,University of Saint Katherine,28800,28800
University of Saint Mary,University of Saint Mary,33890,33890
University of San Diego,University of San Diego,56444,56444
University of San Francisco,University of San Francisco,58222,58222
University of Science and Arts of Oklahoma,University of Science and Arts of Oklahoma,9000,20190
University of Scranton,University of Scranton,52309,52309
University of Silicon Andhra,University of Silicon Andhra,,
University of Silicon Valley,University of Silicon Valley,22480,22480
University of Sioux Falls,University of Sioux Falls,20740,20740
University of South Alabama,University of South Alabama,9676,18652
University of South Carolina Aiken,University of South Carolina Aiken,10760,21218
University of South Carolina Beaufort,University of South Carolina Beaufort,10730,21776
University of South Carolina-Columbia,University of South Carolina-Columbia,12688,34934
University of South Carolina-Upstate,University of South Carolina-Upstate,11583,22545
University of South Dakota,University of South Dakota,9432,12942
University of South Florida,University of South Florida,6410,17324
University of Southern California,University of Southern California,68237,68237
University of Southern Indiana,University of Southern Indiana,10136,22573
University of Southern Maine,University of Southern Maine,10920,27104
University of Southern Mississippi,University of Southern Mississippi,9618,11618
University of St Francis,University of St Francis,37000,37000
University of St Thomas,University of St Thomas,52284,52284
University of St Thomas,University of St Thomas,52284,52284
University of Toledo,University of Toledo,12377,21737
University of Tulsa,University of Tulsa,48602,48602
University of Utah,University of Utah,9315,29837
University of Valley Forge,University of Valley Forge,24510,24510
University of Vermont,University of Vermont,18890,43890
University of Virginia's College at Wise,University of Virginia's College at Wise,11656,32540
University of Virginia-Main Campus,University of Virginia-Main Campus,20986,58014
University of Washington-Bothell Campus,University of Washington-Bothell Campus,12559,41913
University of Washington-Seattle Campus,University of Washington-Seattle Campus,12643,41997
University of Washington-Tacoma Campus,University of Washington-Tacoma Campus,12817,42171
University of West Alabama,University of West Alabama,10990,20090
University of West Florida,University of West Florida,6360,19241
University of West Georgia,University of West Georgia,5971,17024
University of West Los Angeles,University of West Los Angeles,,
University of Western States,University of Western States,,
University of Wisconsin-Eau Claire,University of Wisconsin-Eau Claire,9277,18516
University of Wisconsin-Green Bay,University of Wisconsin-Green Bay,8342,16929
University of Wisconsin-La Crosse,University of Wisconsin-La Crosse,9651,18691
University of Wisconsin-Madison,University of Wisconsin-Madison,11205,40603
University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,10020,22020
University of Wisconsin-Milwaukee Flex,University of Wisconsin-Milwaukee Flex,,
University of Wisconsin-Oshkosh,University of Wisconsin-Oshkosh,8212,16125
University of Wisconsin-Parkside,University of Wisconsin-Parkside,7855,16497
University of Wisconsin-Parkside Flex,University of Wisconsin-Parkside Flex,,
University of Wisconsin-Platteville,University of Wisconsin-Platteville,8315,17274
University of Wisconsin-River Falls,University of Wisconsin-River Falls,8606,16887
University of Wisconsin-Stevens Point,University of Wisconsin-Stevens Point,8834,17854
University of Wisconsin-Stout,University of Wisconsin-Stout,10142,18706
University of Wisconsin-Superior,University of Wisconsin-Superior,8487,16400
University of Wisconsin-System Administration,University of Wisconsin-Madison,11205,40603
University of Wisconsin-Whitewater,University of Wisconsin-Whitewater,8250,17916
University of Wyoming,University of Wyoming,6938,22718
University of the Arts,University of the Arts,54290,54290
University of the Cumberlands,University of the Cumberlands,9875,9875
University of the District of Columbia,University of the District of Columbia,6152,13004
University of the Incarnate Word,University of the Incarnate Word,35660,35660
University of the Ozarks,University of the Ozarks,25950,25950
University of the Pacific,University of the Pacific,55340,55340
University of the People,University of the People,1200,1200
University of the Potomac-VA Campus,University of the Potomac-VA Campus,6660,6660
University of the Potomac-Washington DC Campus,University of the Potomac-Washington DC Campus,6660,6660
University of the Southwest,University of the Southwest,16670,16670
University of the Virgin Islands,University of the Virgin Islands,5612,15521
University of the West,University of the West,14718,14718
Upper Iowa University,Upper Iowa University,19000,19000
Upstate Medical University,Upstate Medical University,,
Urshan University,Furman University,58312,58312
Ursinus College,Ursinus College,59196,59196
Ursuline College,Ursuline College,37860,37860
Uta Mesivta of Kiryas Joel,Uta Mesivta of Kiryas Joel,15000,15000
Utah State University,Utah State University,9228,24802
Utah Tech University,Utah Tech University,6074,17644
Utah Valley University,Utah Valley University,6270,17830
Utica University,Utica University,24308,24308
Valdosta State University,Valdosta State University,6007,17062
Valencia College,Valencia College,2474,9383
Valley City State University,Valley City State University,8514,13478
Valley College-Martinsburg,Valley College-Martinsburg,,
Valor Christian College,Valor Christian College,9892,9892
Valparaiso University,Valparaiso University,46588,46588
VanderCook College of Music,VanderCook College of Music,30910,30910
Vanderbilt University,Vanderbilt University,63946,63946
Vanguard University of Southern California,Vanguard University of Southern California,39950,39950
Vassar College,Vassar College,67805,67805
Vaughn College of Aeronautics and Technology,Vaughn College of Aeronautics and Technology,28850,28850
Veritas Baptist College,Veritas Baptist College,8992,8992
Vermont State University,Vermont State University,11400,21408
Villa Maria College,Villa Maria College,28670,28670
Villanova University,Villanova University,64701,64701
Vincennes University,Vincennes University,6886,16289
Virginia Commonwealth University,Virginia Commonwealth University,16458,39042
Virginia Military Institute,Virginia Military Institute,20484,51186
Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,15478,36694
Virginia State University,Virginia State University,9755,22006
Virginia Union University,Virginia Union University,14880,14880
Virginia University of Lynchburg,Virginia University of Lynchburg,9248,9248
Virginia Wesleyan University,Virginia Wesleyan University,36960,36960
Visible Music College,Visible Music College,22000,22000
Viterbo University,Viterbo University,32350,32350
Voorhees University,Voorhees University,12630,12630
Wabash College,Wabash College,49125,49125
Wade College,Wade College,17692,17692
Wagner College,Wagner College,52000,52000
Wake Forest University,Wake Forest University,64758,64758
Walden University,Walden University,12498,12498
Waldorf University,Waldorf University,25220,25220
Walla Walla Community College,Walla Walla Community College,6513,7967
Walla Walla University,Walla Walla University,33027,33027
Walnut Hill College,Walnut Hill College,23550,23550
Walsh College,Walsh College,,
Walsh University,Walsh University,34595,34595
Warner Pacific University,Warner Pacific University,21010,21010
Warner Pacific University Professional and Graduate Studies,Warner Pacific University Professional and Graduate Studies,,
Warner University,Warner University,28160,28160
Warren Wilson College,Warren Wilson College,40290,40290
Wartburg College,Wartburg College,51040,51040
Washburn University,Washburn University,9578,20582
Washington & Jefferson College,Washington & Jefferson College,28185,28185
Washington Adventist University,Washington Adventist University,25200,25200
Washington College,Washington College,54356,54356
Washington State University,Washington State University,12997,29073
Washington University in St Louis,Washington University in St Louis,62982,62982
Washington University of Science and Technology,Washington University of Science and Technology,13178,13178
Washington and Lee University,Washington and Lee University,64525,64525
Wayland Baptist University,Wayland Baptist University,23186,23186
Wayne State College,Wayne State College,7970,7970
Wayne State University,Wayne State University,14297,30419
Waynesburg University,Waynesburg University,29460,29460
Weatherford College,Weatherford College,4560,9630
Webb Institute,Webb Institute,61060,61060
Webber International University,Webber International University,32150,32150
Weber State University,Weber State University,6391,17084
Webster University,Webster University,30730,30730
Welch College,Welch College,20796,20796
Wellesley College,Wellesley College,64320,64320
Wells College,Wells College,35166,35166
Wenatchee Valley College,Wenatchee Valley College,5118,5652
Wentworth Institute of Technology,Wentworth Institute of Technology,41010,41010
Wesleyan College,Wesleyan College,27650,27650
Wesleyan University,Wesleyan University,67316,67316
West Chester University of Pennsylvania,West Chester University of Pennsylvania,10687,22511
West Coast University-Orange County,West Coast University-Orange County,22685,22685
West Coast University-Texas,West Coast University-Dallas,16715,16715
West Liberty University,West Liberty University,8732,17116
West Los Angeles College,West Los Angeles College,1238,10130
West Texas A & M University,West Texas A & M University,9101,10996
West Virginia Junior College-Morgantown,West Virginia Junior College-Morgantown,14313,14313
West Virginia State University,West Virginia State University,9049,14623
West Virginia University,West Virginia University,9648,27360
West Virginia University Institute of Technology,West Virginia University Institute of Technology,8064,20120
West Virginia University at Parkersburg,West Virginia University at Parkersburg,4420,9124
West Virginia Wesleyan College,West Virginia Wesleyan College,33494,33494
Westcliff University,Westcliff University,21000,21000
Western Carolina University,Western Carolina University,4532,8532
Western Colorado University,Western Colorado University,11083,23683
Western Connecticut State University,Western Connecticut State University,12763,16095
Western Governors University,Western Governors University,8300,8300
Western Illinois University,Western Illinois University,14952,14952
Western Kentucky University,Western Kentucky University,11436,27000
Western Michigan University,Western Michigan University,15298,19098
Western Nevada College,Western Nevada College,3920,12019
Western New England University,Western New England University,46430,46430
Western New Mexico University,Western New Mexico University,7868,14354
Western Oregon University,Western Oregon University,11025,30735
Western Technical College,Western Technical College,,
Western Technical College,Western Technical College,,
Western Washington University,Western Washington University,9286,27853
Western Wyoming Community College,Western Wyoming Community College,4250,10550
Westfield State University,Westfield State University,11882,17962
Westminster College,Westminster College,34188,34188
Westminster College,Westminster College,34188,34188
Westminster University,Westminster University,41416,41416
Westmont College,Westmont College,51790,51790
Whatcom Community College,Whatcom Community College,5146,11096
Wheaton College,Wheaton College,43930,43930
