name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_tier,acceptance_rate,accepted_per_year,applicants_total,student_body_size,unitid,data_completeness,gpa_average,test_policy,financial_aid_policy,control,major_1,major_2,major_3
Northland Pioneer College,Holbrook,AZ,2428.0,9851.0,9251.0,Moderately Selective,0.5,,,1024,1000074,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Phoenix College,Phoenix,AZ,2358.0,8958.0,11728.0,Moderately Selective,0.5,,,6952,1000075,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Pima Community College,Tucson,AZ,2370.0,7686.0,3123.0,Moderately Selective,0.5,,,13869,1000076,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Pima Medical Institute-Tucson,Tucson,AZ,9748.0,17062.0,,Moderately Selective,0.5,,,2619,1000077,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Pima Medical Institute-Albuquerque,Albuquerque,NM,9748.0,17062.0,20348.0,Moderately Selective,0.5,,,737,1000078,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Prescott College,Prescott,AZ,35685.0,35685.0,20906.0,Less Selective,0.9856999999999999,,,253,1000079,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Refrigeration School Inc,Phoenix,AZ,9748.0,17062.0,25300.0,Moderately Selective,0.5,,,1271,1000080,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Rio Salado College,Tempe,AZ,2358.0,8958.0,8764.0,Moderately Selective,0.5,,,4879,1000081,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Scottsdale Community College,Scottsdale,AZ,2358.0,8958.0,14380.0,Moderately Selective,0.5,,,4274,1000082,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
South Mountain Community College,Phoenix,AZ,2358.0,8958.0,11942.0,Moderately Selective,0.5,,,2612,1000083,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arizona Christian University,Glendale,AZ,34697.0,34697.0,32383.0,Less Selective,0.7442,,,1127,1000084,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Universal Technical Institute of Arizona Inc,Avondale,AZ,9748.0,17062.0,27139.0,Moderately Selective,0.5,,,1791,1000085,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Yavapai College,Prescott,AZ,2838.0,9344.0,6355.0,Moderately Selective,0.5,,,3732,1000086,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas at Little Rock,Little Rock,AR,8455.0,19210.0,16136.0,Moderately Selective,0.5774,,,4740,1000087,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas for Medical Sciences,Little Rock,AR,9748.0,17062.0,,Moderately Selective,0.5,,,1361,1000088,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arkansas Baptist College,Little Rock,AR,8760.0,8760.0,11139.0,Moderately Selective,0.5,,,373,1000089,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arkansas Beauty School-Little Rock,Little Rock,AR,9748.0,17062.0,24060.0,Moderately Selective,0.5,,,111,1000090,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Lyon College,Batesville,AR,31000.0,31000.0,22670.0,Less Selective,0.6554000000000001,,,563,1000091,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arkansas Technical School,North Little Rock,AR,9748.0,17062.0,35353.0,Moderately Selective,0.5,,,111,1000092,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas,Fayetteville,AR,9748.0,28772.0,17525.0,Less Selective,0.7167,,,27312,1000093,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas at Pine Bluff,Pine Bluff,AR,9019.0,17029.0,11679.0,Moderately Selective,0.5754,,,1899,1000094,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arkansas State University-Beebe,Beebe,AR,3216.0,5040.0,8652.0,Moderately Selective,0.5,,,1902,1000095,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arkansas State University,Jonesboro,AR,7754.0,13826.0,13085.0,Less Selective,0.6967,,,7994,1000096,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Arkansas Tech University,Russellville,AR,8508.0,14502.0,12171.0,Less Selective,0.9629000000000001,,,5993,1000097,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas at Monticello,Monticello,AR,8868.0,14718.0,14013.0,Moderately Selective,0.5,,,1868,1000098,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Baptist Health College Little Rock,Little Rock,AR,13593.0,13593.0,34755.0,Less Selective,1.0,,,512,1000099,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Black River Technical College,Pocahontas,AR,4584.0,7242.0,6053.0,Moderately Selective,0.5,,,938,1000100,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Central Arkansas,Conway,AR,10118.0,17258.0,16775.0,Less Selective,0.9047,,,7426,1000101,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Central Baptist College,Conway,AR,19680.0,19680.0,16664.0,Moderately Selective,0.4636,,,477,1000102,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Cossatot Community College of the University of Arkansas,De Queen,AR,3906.0,4746.0,5200.0,Moderately Selective,0.5,,,835,1000103,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Crowley's Ridge College,Paragould,AR,16440.0,16440.0,17236.0,Moderately Selective,0.5,,,162,1000104,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
East Arkansas Community College,Forrest City,AR,3960.0,4980.0,6769.0,Moderately Selective,0.5,,,492,1000105,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Paul Mitchell the School-Little Rock,North Little Rock,AR,9748.0,17062.0,14508.0,Moderately Selective,0.5,,,411,1000106,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
National Park College,Hot Springs,AR,5600.0,7280.0,11442.0,Moderately Selective,0.5,,,1706,1000107,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Arkansas Community College-Batesville,Batesville,AR,3558.0,4542.0,9359.0,Moderately Selective,0.5,,,788,1000108,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Harding University,Searcy,AR,24888.0,24888.0,20579.0,Less Selective,1.0,,,3323,1000109,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Henderson State University,Arkadelphia,AR,7885.0,9882.0,16929.0,Less Selective,0.8192,,,1491,1000110,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
