name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_label,acceptance_rate_percent,accepted_per_year,applicants_total,student_body_size
Concordia University-Irvine,Irvine,CA,41390,41390,28046,Somewhat selective,59.86,,,1456
Citrus College,Glendora,CA,1204,9844,3800,Unknown,,,,8126
Citrus Heights Beauty College,Citrus Heights,CA,,,30408,Unknown,,,,110
City College of San Francisco,San Francisco,CA,1696,14656,7272,Unknown,,,,16060
Claremont McKenna College,Claremont,CA,64150,64150,27384,Very selective,11.12,,,1379
Milan Institute-Visalia,Visalia,CA,,,28638,Unknown,,,,632
Clovis Adult Education,Clovis,CA,,,,Unknown,,,,268
Coastline Community College,Fountain Valley,CA,1180,9964,9605,Unknown,,,,7007
University of Silicon Valley,San Jose,CA,22480,22480,30799,Somewhat selective,51.31,,,377
Coba Academy,Anaheim,CA,,,16761,Unknown,,,,100
Columbia College,Sonora,CA,1547,8870,15468,Unknown,,,,1917
California College of ASU,Los Angeles,CA,26175,26175,30320,Unknown,,,,149
Compton College,Compton,CA,1142,8822,11103,Unknown,,,,2881
Contra Costa College,San Pablo,CA,1312,9012,6522,Unknown,,,,4805
Cosumnes River College,Sacramento,CA,1288,12808,4648,Unknown,,,,13527
Crafton Hills College,Yucaipa,CA,1188,12320,10655,Unknown,,,,5074
Cuesta College,San Luis Obispo,CA,1340,11000,12898,Unknown,,,,6879
Cuyamaca College,El Cajon,CA,1340,10636,6187,Unknown,,,,6788
Cypress College,Cypress,CA,1150,9399,4683,Unknown,,,,12309
De Anza College,Cupertino,CA,1562,12317,4667,Unknown,,,,14953
International School of Beauty Inc,Palm Desert,CA,,,13450,Unknown,,,,173
College of the Desert,Palm Desert,CA,1326,9586,11812,Unknown,,,,8900
Diablo Valley College,Pleasant Hill,CA,1312,9012,6142,Unknown,,,,14734
Dominican University of California,San Rafael,CA,50666,50666,50218,Less selective,95.62,,,1178
East Los Angeles College,Monterey Park,CA,1238,10130,9791,Unknown,,,,24401
El Camino Community College District,Torrance,CA,1144,7144,5170,Unknown,,,,18994
Evergreen Valley College,San Jose,CA,1366,8718,12591,Unknown,,,,7670
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,34325,34325,41493,Selective,41.5,,,1319
Feather River Community College District,Quincy,CA,1465,9925,6520,Unknown,,,,1574
Federico Beauty Institute,Sacramento,CA,,,25736,Unknown,,,,245
Foothill College,Los Altos Hills,CA,1565,12320,7549,Unknown,,,,10922
Fresno City College,Fresno,CA,1334,9454,1699,Unknown,,,,18774
Fresno Pacific University,Fresno,CA,35558,35558,14317,Somewhat selective,57.52,,,1614
Fullerton College,Fullerton,CA,1150,9399,8090,Unknown,,,,16637
Gavilan College,Gilroy,CA,1506,12246,2244,Unknown,,,,4410
Gemological Institute of America-Carlsbad,Carlsbad,CA,,,31435,Unknown,,,,308
Glendale Community College,Glendale,CA,1181,8381,7461,Unknown,,,,9807
Glendale Career College,Glendale,CA,,,46212,Unknown,,,,854
Golden Gate University,San Francisco,CA,31243,31243,,Unknown,,,,550
Golden West College,Huntington Beach,CA,1196,11084,2861,Unknown,,,,8919
Grossmont College,El Cajon,CA,1332,10628,2755,Unknown,,,,11467
Salon Success Academy-Riverside,Riverside,CA,,,13095,Unknown,,,,173
Hartnell College,Salinas,CA,1404,8994,2895,Unknown,,,,7153
Harvey Mudd College,Claremont,CA,66255,66255,32492,Very selective,13.06,,,915
California State Polytechnic University-Humboldt,Arcata,CA,7913,19793,13167,Less selective,98.83,,,5491
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,14760,14760,11410,Unknown,,,,178
Imperial Valley College,Imperial,CA,1126,7990,1697,Unknown,,,,6881
Institute for Business and Technology,Santa Clara,CA,,,25471,Unknown,,,,609
Interior Designers Institute,Newport Beach,CA,20250,20250,,Unknown,,,,107
Irvine Valley College,Irvine,CA,1156,10996,1886,Unknown,,,,9577
Bellus Academy-El Cajon,El Cajon,CA,,,29547,Unknown,,,,205
Reedley College,Reedley,CA,1334,9454,1584,Unknown,,,,4853
