unitid,applications,admitted,enrolled,acceptance_rate,sat_verbal_25,sat_verbal_75,sat_math_25,sat_math_75,sat_total_25,sat_total_75,act_composite_25,act_composite_75,act_english_25,act_english_75,act_math_25,act_math_75,selectivity_tier,test_policy,financial_aid_policy,gpa_average
128744,5592,3596.0,231.0,0.6430615164520744,470.0,585.0,410.0,530.0,880.0,1115.0,,,,,,,Less Selective,Required,Need-blind,3.2096220073425723
128771,8282,6255.0,1441.0,0.7552523545037431,480.0,600.0,480.0,580.0,960.0,1180.0,19.0,29.0,17.0,28.0,17.0,27.0,Less Selective,Required,Need-blind,3.2041404546151746
128902,9397,3597.0,555.0,0.38278173885282535,680.0,740.0,660.0,730.0,1340.0,1470.0,31.0,33.0,32.0,35.0,28.0,31.0,Selective,Required,Need-blind,3.5612095267122643
129020,46645,25164.0,4189.0,0.5394790438417837,610.0,700.0,600.0,720.0,1210.0,1420.0,29.0,33.0,28.0,35.0,26.0,32.0,Less Selective,Required,Need-blind,3.5503084076070657
129215,5275,4249.0,614.0,0.8054976303317536,570.0,670.0,540.0,650.0,1110.0,1320.0,,,,,,,Less Selective,Required,Need-blind,3.533515882622572
129242,15463,6956.0,1436.0,0.44984802431610943,620.0,690.0,620.0,690.0,1240.0,1380.0,29.0,32.0,,,,,Selective,Required,Need-blind,3.7180880083033303
129525,14253,11832.0,1311.0,0.8301410229425384,560.0,650.0,540.0,630.0,1100.0,1280.0,25.0,32.0,,,,,Less Selective,Required,Need-blind,3.310124939902025
129774,1295,950.0,83.0,0.7335907335907336,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.376513494311807
129941,13498,10872.0,1296.0,0.8054526596532819,560.0,640.0,530.0,620.0,1090.0,1260.0,,,,,,,Less Selective,Required,Need-blind,3.134367693276372
130226,21323,16418.0,1797.0,0.7699667026215823,560.0,650.0,540.0,650.0,1100.0,1300.0,25.0,29.0,23.0,31.0,24.0,28.0,Less Selective,Required,Need-blind,3.315590879381325
130253,14284,9667.0,1905.0,0.6767712125455054,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.212178857886718
